src/molecule/interpolation.py:84: error: Returning Any from function declared to return "str"  [no-any-return]
src/molecule/interpolation.py:84: error: Call to untyped function "substitute" in typed context  [no-untyped-call]
src/molecule/driver/base.py:56: error: Function is missing a type annotation  [no-untyped-def]
src/molecule/state.py:68: error: Call to untyped function "_get_state_file" in typed context  [no-untyped-call]
src/molecule/state.py:69: error: Call to untyped function "_get_data" in typed context  [no-untyped-call]
src/molecule/state.py:70: error: Call to untyped function "_write_state_file" in typed context  [no-untyped-call]
src/molecule/state.py:111: error: Argument 1 to "marshal" has incompatible type "Callable[[State], Any]"; expected "State"  [arg-type]
src/molecule/state.py:112: error: Function is missing a return type annotation  [no-untyped-def]
src/molecule/state.py:112: note: Use "-> None" if function does not return a value
src/molecule/state.py:115: error: Argument 1 to "marshal" has incompatible type "Callable[[State, Any, Any], Any]"; expected "State"  [arg-type]
src/molecule/state.py:116: error: Function is missing a type annotation  [no-untyped-def]
src/molecule/platforms.py:80: error: Call to untyped function "_filter_platforms" in typed context  [no-untyped-call]
src/molecule/platforms.py:85: error: Call to untyped function "_parallelize_platforms" in typed context  [no-untyped-call]
src/molecule/scenario.py:49: error: Call to untyped function "_setup" in typed context  [no-untyped-call]
src/molecule/scenario.py:195: error: Call to untyped function "_get_matrix" in typed context  [no-untyped-call]
src/molecule/verifier/testinfra.py:98: error: Need type annotation for "_tests" (hint: "_tests: list[<type>] = ...")  [var-annotated]
src/molecule/provisioner/ansible_playbook.py:48: error: Need type annotation for "_cli" (hint: "_cli: dict[<type>, <type>] = ...")  [var-annotated]
src/molecule/config.py:201: error: Function is missing a return type annotation  [no-untyped-def]
src/molecule/shell.py:76: error: Call to untyped function "click_group_ex" in typed context  [no-untyped-call]
src/molecule/shell.py:119: error: Function is missing a type annotation  [no-untyped-def]
Found 19 errors in 9 files (checked 137 source files)
